student_id,quiz_attempts,questions_attempted,correct_answers,wrong_answers,accuracy,avg_time_per_question,easy_correct,medium_correct,hard_correct,previous_avg_score,current_elo_rating,question_difficulty_rating,total_answered,student_level
222,1,14,2,12,0.131,56.49,5,5,0,69.44,168.6,513.1,48,Beginner
226,2,24,24,0,0.98,33.83,7,8,5,98.0,680.8,144.1,137,Advanced
114,5,27,17,10,0.618,49.86,9,9,8,98.0,697.0,579.8,138,Advanced
47,2,24,14,10,0.581,49.13,8,8,5,93.67,479.8,424.2,137,Intermediate
278,5,23,18,5,0.784,29.34,8,8,1,79.16,303.9,124.8,11,Intermediate
444,5,19,9,10,0.475,39.53,5,4,1,70.97,150.3,122.2,138,Beginner
32,4,13,4,9,0.271,56.24,4,4,0,71.67,313.5,525.0,40,Beginner
430,1,25,8,17,0.323,31.96,7,1,0,20.0,-422.8,-261.6,53,Beginner
414,1,18,1,17,0.05,62.58,6,0,0,50.85,-16.9,585.8,102,Beginner
139,4,14,14,0,0.98,22.19,5,3,1,86.72,388.1,-249.7,72,Advanced
316,3,20,4,16,0.215,44.11,5,0,0,24.75,-235.1,29.0,124,Beginner
83,3,10,6,4,0.611,49.15,3,4,2,98.0,574.7,403.9,100,Intermediate
380,1,20,16,4,0.783,34.63,5,7,1,84.78,215.1,56.3,18,Intermediate
351,3,21,18,3,0.847,16.18,7,7,4,94.59,418.1,48.7,22,Advanced
178,1,18,16,2,0.911,20.04,6,4,1,73.8,313.4,5.1,15,Intermediate
34,1,24,23,1,0.969,20.48,7,6,1,63.12,166.0,-339.1,50,Intermediate
486,5,22,17,5,0.765,19.33,7,8,2,91.93,510.9,-258.1,70,Intermediate
223,4,17,17,0,0.979,21.34,6,4,1,59.28,244.0,-223.6,133,Intermediate
447,5,25,18,7,0.701,37.71,7,9,1,62.88,221.8,60.9,52,Intermediate
339,5,12,8,4,0.703,40.25,4,3,0,87.5,365.4,188.3,15,Intermediate
390,5,20,18,2,0.92,21.95,7,3,0,81.97,217.7,-291.2,83,Intermediate
380,3,12,3,9,0.235,59.69,3,4,1,79.48,215.1,479.3,63,Beginner
98,2,22,19,3,0.852,30.25,7,8,2,89.38,486.2,70.0,127,Advanced
182,4,10,10,0,0.98,24.69,2,4,3,98.0,689.9,0.5,6,Advanced
234,4,28,19,9,0.683,41.29,10,6,1,81.11,386.2,156.3,44,Intermediate
249,3,10,10,0,0.971,20.27,3,3,3,96.32,669.7,-317.4,105,Advanced
22,3,20,13,7,0.642,52.28,7,6,4,98.0,646.8,585.2,2,Advanced
274,2,23,7,16,0.292,34.71,5,3,0,48.85,-75.8,125.1,85,Beginner
78,3,18,10,8,0.549,25.33,1,0,0,20.0,-290.1,-315.1,101,Beginner
372,5,14,5,9,0.335,46.88,5,4,3,88.25,484.0,591.6,5,Intermediate
342,3,15,2,13,0.163,47.99,5,3,1,66.55,233.1,472.1,85,Beginner
462,3,27,4,23,0.133,55.36,9,8,5,72.97,256.0,477.5,140,Beginner
373,5,12,5,7,0.431,48.43,4,3,1,98.0,475.9,490.5,78,Intermediate
184,5,24,2,22,0.066,57.37,8,4,2,72.26,237.3,561.8,26,Beginner
484,4,16,14,2,0.871,22.81,5,2,0,70.73,156.5,-398.2,118,Intermediate
206,1,10,2,8,0.187,58.79,0,1,0,20.0,-319.3,156.3,9,Beginner
163,5,18,14,4,0.764,23.18,6,5,4,98.0,498.2,144.6,128,Advanced
453,1,11,9,2,0.831,19.74,2,2,0,41.59,-8.8,-202.2,144,Intermediate
186,1,26,20,6,0.771,20.64,8,2,0,39.93,-45.9,-357.9,22,Beginner
39,2,26,23,3,0.874,24.47,8,6,1,61.94,219.9,-276.9,42,Intermediate
235,3,14,12,2,0.877,30.48,5,4,4,98.0,619.9,56.4,125,Advanced
398,1,26,8,18,0.326,57.87,9,8,4,94.62,469.5,537.4,112,Intermediate
95,3,24,7,17,0.307,64.96,7,5,2,60.63,394.1,591.8,82,Beginner
232,5,24,24,0,0.98,24.14,8,8,3,94.11,402.6,-236.3,102,Advanced
65,4,11,9,2,0.819,24.2,3,1,0,64.75,69.6,-212.1,131,Intermediate
344,5,12,10,2,0.815,43.09,4,3,0,55.02,115.2,26.2,108,Intermediate
238,5,13,4,9,0.321,22.76,4,1,0,58.14,43.0,172.5,86,Beginner
166,5,27,15,12,0.537,49.45,9,8,1,98.0,497.1,474.2,59,Intermediate
114,1,16,10,6,0.651,51.71,5,6,4,98.0,697.0,550.9,135,Advanced
283,4,21,16,5,0.774,58.58,7,7,3,98.0,802.4,526.1,86,Advanced
335,1,19,14,5,0.755,32.52,6,7,2,98.0,701.4,468.8,125,Advanced
471,4,30,26,4,0.862,41.4,10,10,8,98.0,722.8,479.6,129,Advanced
219,5,13,8,5,0.605,25.06,3,5,0,57.33,123.2,78.0,49,Beginner
81,1,26,25,1,0.98,12.62,9,6,2,70.54,229.0,-228.2,112,Advanced
417,3,12,10,2,0.859,24.21,4,2,1,52.79,15.0,-384.5,97,Intermediate
315,1,30,17,13,0.551,39.88,9,2,1,45.83,41.7,35.0,35,Beginner
351,3,21,20,1,0.971,33.34,7,5,3,98.0,418.1,-309.6,86,Advanced
49,3,15,15,0,0.98,21.18,5,5,5,98.0,577.2,-213.7,144,Advanced
157,5,18,2,16,0.129,59.95,5,3,2,76.5,223.6,476.7,81,Beginner
384,2,25,22,3,0.877,23.52,8,9,8,98.0,998.2,-364.1,104,Advanced
417,4,18,2,16,0.121,59.5,3,3,0,45.41,15.0,431.5,17,Beginner
218,4,11,1,10,0.111,65.85,3,0,0,40.38,-178.6,476.2,59,Beginner
403,4,16,14,2,0.872,26.71,3,5,1,98.0,485.9,72.7,4,Advanced
421,5,29,25,4,0.854,40.14,10,9,3,87.11,403.0,149.0,55,Advanced
194,1,17,17,0,0.98,16.96,6,2,1,48.77,74.4,-348.0,52,Intermediate
450,1,20,5,15,0.235,44.3,6,2,0,26.08,-113.1,68.2,29,Beginner
145,4,13,10,3,0.733,34.23,3,1,0,50.23,0.0,-279.8,75,Intermediate
120,1,10,0,10,0.05,67.45,3,1,0,44.76,-32.5,566.7,76,Beginner
342,3,15,14,1,0.903,16.6,5,5,0,82.79,233.1,-340.8,83,Intermediate
319,3,28,25,3,0.893,23.92,10,6,1,66.68,87.4,-348.0,60,Intermediate
70,4,21,1,20,0.063,61.7,6,3,2,57.72,74.0,536.0,78,Beginner
417,1,17,9,8,0.502,36.5,5,2,0,50.85,15.0,12.9,87,Beginner
100,3,20,12,8,0.598,32.44,5,4,0,51.17,103.9,21.0,22,Beginner
403,4,27,25,2,0.91,42.33,8,8,4,98.0,485.9,167.1,73,Advanced
4,1,29,26,3,0.897,15.83,10,9,4,98.0,495.7,-283.5,123,Advanced
399,2,16,6,10,0.399,41.37,4,0,1,59.9,50.6,189.5,106,Beginner
394,2,27,26,1,0.98,13.09,9,8,2,86.68,272.6,-320.6,108,Advanced
391,2,26,25,1,0.98,29.25,8,8,5,87.11,416.3,-254.9,45,Advanced
333,3,10,9,1,0.904,28.78,3,4,1,82.34,389.6,-324.7,130,Advanced
236,1,28,26,2,0.928,48.58,9,2,0,88.1,183.5,-284.3,74,Intermediate
353,3,14,14,0,0.98,32.08,5,5,0,96.96,422.0,-257.9,133,Advanced
139,1,26,19,7,0.748,37.13,8,9,3,86.58,388.1,186.3,24,Intermediate
391,1,28,25,3,0.901,26.68,10,9,5,98.0,416.3,-211.2,125,Advanced
278,3,22,20,2,0.898,22.68,7,6,2,77.92,303.9,-328.8,45,Intermediate
230,5,16,12,4,0.747,32.94,5,6,2,88.57,359.6,124.0,100,Intermediate
253,4,27,23,4,0.869,26.83,9,8,1,82.25,368.0,-260.3,3,Intermediate
285,2,20,5,15,0.251,48.2,6,0,0,39.78,-100.9,595.9,67,Beginner
19,2,26,1,25,0.05,60.0,8,1,0,51.72,39.2,507.4,117,Beginner
70,3,24,8,16,0.35,39.74,7,3,0,51.39,74.0,130.8,96,Beginner
123,1,16,1,15,0.092,67.43,1,0,0,22.65,-292.9,401.6,47,Beginner
58,4,21,19,2,0.902,23.98,6,6,4,84.42,395.3,-239.9,38,Advanced
220,1,14,13,1,0.925,19.54,5,5,1,83.17,285.6,-235.1,35,Advanced
335,4,10,7,3,0.678,52.93,3,4,3,98.0,701.4,593.2,139,Advanced
328,2,24,7,17,0.278,54.04,8,2,2,56.33,200.9,435.0,46,Beginner
236,2,14,2,12,0.149,54.17,3,3,1,73.32,183.5,460.7,95,Beginner
428,3,20,13,7,0.668,22.19,3,4,0,23.25,-318.5,-391.2,2,Beginner
283,1,12,9,3,0.735,42.91,4,4,3,98.0,802.4,496.2,90,Advanced
40,2,23,12,11,0.53,33.43,8,6,1,71.71,215.7,165.2,98,Intermediate
383,2,13,9,4,0.667,29.1,4,0,0,26.54,-249.3,-343.5,88,Beginner
288,5,15,15,0,0.98,30.32,4,1,2,64.96,111.3,-348.1,126,Intermediate
318,1,13,4,9,0.326,50.89,4,4,1,98.0,516.7,591.5,103,Intermediate
283,1,29,25,4,0.87,23.35,10,10,7,98.0,802.4,-332.4,32,Advanced
277,2,23,2,21,0.074,64.42,5,0,1,25.51,-270.4,558.1,103,Beginner
46,3,23,13,10,0.553,30.41,8,3,1,53.68,39.5,5.2,36,Beginner
280,4,18,1,17,0.05,78.46,6,2,0,70.62,138.8,561.3,7,Beginner
398,3,28,8,20,0.275,57.2,10,8,4,96.36,469.5,569.5,140,Intermediate
152,3,11,2,9,0.171,49.53,4,2,2,73.29,336.1,569.8,64,Beginner
302,3,18,18,0,0.98,19.13,6,2,0,48.89,109.0,-381.5,65,Intermediate
16,1,11,8,3,0.684,22.68,3,0,1,33.26,-144.0,-297.4,147,Beginner
174,1,24,24,0,0.98,24.56,8,8,8,98.0,747.2,155.3,92,Advanced
219,4,29,16,13,0.553,38.41,9,7,1,82.1,123.2,79.4,114,Intermediate
492,5,26,25,1,0.98,17.15,9,8,7,98.0,676.5,-222.9,132,Advanced
108,1,13,5,8,0.379,33.21,1,0,0,20.0,-375.5,-275.2,29,Beginner
139,5,26,24,2,0.922,32.9,9,8,3,85.57,388.1,-205.3,23,Advanced
205,5,15,12,3,0.772,25.52,5,1,0,48.23,-67.2,-225.7,65,Intermediate
497,4,17,15,2,0.865,29.6,6,6,0,77.98,257.3,-357.1,12,Intermediate
427,3,22,1,21,0.05,50.12,5,3,0,37.68,-72.1,594.4,70,Beginner
18,2,19,14,5,0.755,25.29,4,2,0,31.24,-106.7,-331.0,82,Beginner
117,3,13,9,4,0.655,43.99,3,4,4,98.0,648.4,557.1,147,Advanced
411,1,21,4,17,0.183,60.78,6,5,0,66.42,231.7,548.2,26,Beginner
30,2,14,13,1,0.893,17.66,5,5,2,74.25,260.9,-353.5,143,Advanced
428,2,25,1,24,0.05,75.0,5,0,0,20.0,-318.5,554.7,37,Beginner
141,3,11,9,2,0.783,18.52,3,3,0,73.47,274.8,57.1,12,Intermediate
459,2,27,2,25,0.062,61.0,8,6,0,74.37,127.3,403.1,127,Beginner
147,3,30,29,1,0.98,31.05,10,9,4,98.0,390.9,-262.4,40,Advanced
218,4,25,13,12,0.522,34.49,4,1,0,30.3,-178.6,-204.8,45,Beginner
331,5,22,19,3,0.868,25.28,7,4,1,83.96,416.8,-359.5,11,Intermediate
64,5,19,11,8,0.573,44.77,4,6,0,65.55,157.9,45.6,81,Beginner
279,1,21,2,19,0.084,77.34,7,4,0,56.37,74.4,547.2,30,Beginner
253,3,20,18,2,0.893,25.97,7,6,3,86.29,368.0,32.7,92,Advanced
392,3,28,3,25,0.123,60.42,10,7,4,78.74,319.2,585.9,68,Beginner
499,3,12,1,11,0.097,56.64,4,2,1,62.64,210.4,582.8,41,Beginner
333,4,22,18,4,0.811,18.69,7,5,3,89.24,389.6,25.8,91,Advanced
205,2,21,14,7,0.69,32.49,5,2,0,40.47,-67.2,-221.3,24,Beginner
204,3,15,15,0,0.98,40.92,5,5,5,98.0,967.8,407.7,122,Advanced
209,5,18,16,2,0.879,20.06,6,5,2,75.13,243.8,70.7,104,Intermediate
408,3,19,18,1,0.935,28.09,5,4,3,81.75,323.0,-292.1,14,Advanced
161,3,10,2,8,0.231,47.07,3,1,1,45.79,-47.9,191.8,150,Beginner
84,5,20,2,18,0.122,52.93,6,4,2,55.56,87.4,480.9,43,Beginner
168,1,13,10,3,0.779,21.14,3,3,1,66.11,132.3,-248.9,145,Intermediate
12,2,18,8,10,0.471,36.19,6,4,0,51.12,68.6,32.8,92,Beginner
54,3,15,12,3,0.788,36.16,5,5,1,98.0,619.6,-393.2,139,Advanced
46,1,25,23,2,0.919,28.81,8,4,0,46.83,39.5,-320.2,69,Intermediate
386,3,30,29,1,0.98,30.36,10,8,7,98.0,544.2,-214.3,116,Advanced
362,5,12,1,11,0.125,51.81,3,0,1,20.0,-324.7,472.4,47,Beginner
349,4,15,9,6,0.601,46.22,5,5,3,94.47,580.1,511.1,105,Intermediate
231,1,13,12,1,0.943,29.16,4,5,4,98.0,719.7,-275.2,27,Advanced
359,5,20,15,5,0.768,18.22,5,0,0,59.53,-6.7,-239.7,22,Intermediate
81,4,17,17,0,0.98,26.43,6,5,1,77.36,229.0,-266.3,107,Advanced
451,5,19,18,1,0.965,28.35,6,6,4,98.0,543.7,-230.0,5,Advanced
251,1,11,10,1,0.894,27.0,4,3,1,76.13,398.6,36.6,36,Intermediate
470,5,28,23,5,0.808,45.05,10,9,9,98.0,833.4,478.4,74,Advanced
77,1,30,21,9,0.696,33.25,10,6,1,55.73,185.9,75.0,103,Intermediate
249,1,29,27,2,0.94,24.05,10,10,8,98.0,669.7,100.0,87,Advanced
349,2,20,19,1,0.94,23.43,7,7,3,98.0,580.1,174.1,138,Advanced
248,5,24,24,0,0.98,24.34,7,4,0,45.78,140.3,-357.4,109,Intermediate
224,5,11,9,2,0.776,35.11,4,3,0,67.17,53.3,-310.4,33,Intermediate
84,4,22,2,20,0.107,61.58,7,3,1,48.69,87.4,420.5,106,Beginner
191,1,22,1,21,0.054,57.83,7,6,0,62.28,151.2,564.8,109,Beginner
120,5,25,1,24,0.05,54.59,6,6,0,45.72,-32.5,461.3,128,Beginner
151,2,26,17,9,0.637,42.22,9,8,6,98.0,621.4,461.8,121,Advanced
342,4,10,7,3,0.688,27.43,3,1,0,77.02,233.1,51.9,95,Intermediate
316,2,18,1,17,0.05,57.21,4,0,0,20.56,-235.1,402.7,95,Beginner
304,3,20,19,1,0.962,36.06,7,5,5,98.0,474.9,84.1,69,Advanced
181,1,20,20,0,0.976,40.74,6,6,3,98.0,655.9,-320.4,49,Advanced
480,5,21,20,1,0.972,19.09,7,7,2,90.93,519.6,-333.0,144,Advanced
44,1,24,20,4,0.815,29.46,8,5,0,76.82,249.3,-272.5,36,Intermediate
172,5,22,22,0,0.98,28.7,7,8,4,94.48,529.1,-207.8,127,Advanced
60,5,14,12,2,0.871,28.59,5,5,1,93.26,525.8,145.3,119,Advanced
170,1,23,4,19,0.173,53.26,7,4,1,56.96,46.3,553.3,93,Beginner
481,4,22,14,8,0.623,49.09,7,8,3,95.75,490.2,441.0,49,Intermediate
184,2,14,10,4,0.698,46.71,5,1,0,76.71,237.3,78.0,107,Intermediate
455,2,23,23,0,0.98,27.25,6,6,1,61.24,81.9,-352.6,121,Intermediate
248,2,20,2,18,0.115,55.25,6,2,1,52.6,140.3,575.0,90,Beginner
350,2,26,21,5,0.806,32.66,9,9,4,98.0,452.7,187.3,127,Advanced
229,5,18,16,2,0.908,17.19,6,3,0,70.09,178.1,-285.2,77,Intermediate
133,1,28,27,1,0.98,25.03,10,8,9,98.0,629.9,-317.1,131,Advanced
383,2,21,9,12,0.446,38.09,3,0,1,23.98,-249.3,-237.6,61,Beginner
485,2,29,25,4,0.864,21.12,9,5,0,58.77,26.2,-337.9,123,Intermediate
132,3,12,1,11,0.05,37.77,4,0,1,43.53,-39.1,556.0,11,Beginner
390,2,12,2,10,0.176,54.81,3,2,2,88.7,217.7,428.4,136,Beginner
131,4,14,1,13,0.05,57.87,3,2,1,62.45,5.3,579.6,101,Beginner
359,5,27,26,1,0.98,20.98,5,5,0,50.27,-6.7,-346.4,140,Intermediate
395,4,20,4,16,0.183,54.23,7,5,1,68.14,199.6,559.0,139,Beginner
225,2,24,21,3,0.886,33.6,8,7,4,94.25,457.3,127.4,75,Advanced
369,5,10,9,1,0.912,22.04,3,4,0,70.41,252.2,-367.4,99,Intermediate
137,3,17,12,5,0.708,36.33,6,4,1,73.39,223.9,35.9,44,Intermediate
40,2,17,10,7,0.572,43.05,5,3,1,77.07,215.7,146.9,147,Intermediate
49,4,29,28,1,0.98,26.34,10,9,7,96.92,577.2,91.4,29,Advanced
224,5,12,11,1,0.935,21.89,4,3,0,60.47,53.3,-358.2,29,Intermediate
452,2,28,21,7,0.742,35.18,9,6,2,84.83,273.6,134.5,59,Intermediate
64,2,17,16,1,0.939,24.33,6,3,1,70.36,157.9,-278.4,66,Intermediate
228,4,26,23,3,0.888,12.63,9,6,4,88.52,395.6,-221.3,38,Advanced
353,3,16,15,1,0.957,38.3,4,6,3,96.45,422.0,-378.0,145,Advanced
102,4,11,9,2,0.792,49.95,4,3,3,98.0,856.2,530.2,127,Advanced
361,3,24,24,0,0.98,21.66,8,8,8,98.0,767.8,-296.0,31,Advanced
153,1,13,1,12,0.053,28.34,4,1,0,20.0,-324.1,47.2,127,Beginner
405,2,13,12,1,0.91,23.64,3,3,0,87.41,203.5,-325.4,48,Intermediate
290,5,29,5,24,0.169,52.96,9,5,1,65.37,129.2,488.4,67,Beginner
274,5,14,4,10,0.262,38.17,4,0,0,34.36,-75.8,62.6,148,Beginner
89,2,30,4,26,0.138,41.37,9,4,3,76.73,197.5,493.8,122,Beginner
232,4,17,13,4,0.765,21.59,5,5,1,93.48,402.6,-327.1,53,Intermediate
429,1,15,14,1,0.923,22.1,5,4,1,73.27,285.1,-211.2,97,Intermediate
10,2,19,13,6,0.672,35.75,6,6,0,68.86,276.9,184.1,121,Intermediate
380,4,15,7,8,0.488,37.51,4,3,1,73.42,215.1,192.7,87,Intermediate
247,1,29,6,23,0.205,57.3,10,7,1,72.62,231.0,511.9,38,Beginner
360,4,22,3,19,0.148,70.45,7,6,1,68.31,282.6,585.2,122,Beginner
332,5,25,17,8,0.693,28.26,8,4,0,60.38,110.9,27.8,53,Intermediate
217,1,11,1,10,0.095,48.83,4,1,0,63.37,145.8,452.4,121,Beginner
155,3,15,9,6,0.602,18.86,5,0,1,58.19,86.9,2.6,81,Beginner
314,2,22,19,3,0.847,21.32,7,7,3,98.0,511.6,-253.9,120,Advanced
71,4,20,15,5,0.757,20.18,7,5,2,61.23,253.3,49.5,124,Intermediate
293,5,30,28,2,0.92,31.62,10,10,8,98.0,987.5,-262.4,82,Advanced
48,1,25,4,21,0.141,56.13,7,3,0,48.24,21.4,460.9,49,Beginner
325,4,16,15,1,0.906,31.48,5,5,2,98.0,540.3,-246.6,49,Advanced
315,1,19,17,2,0.875,35.97,6,5,0,73.11,41.7,-350.1,6,Intermediate
43,3,25,23,2,0.903,19.17,8,8,6,98.0,663.3,9.3,61,Advanced
379,3,18,17,1,0.952,22.47,6,3,2,75.64,252.8,-286.5,32,Advanced
208,3,21,21,0,0.98,35.68,5,2,1,30.65,2.0,-326.7,103,Intermediate
394,4,26,1,25,0.05,59.65,8,7,1,84.5,272.6,552.2,100,Beginner
21,4,16,14,2,0.88,29.74,4,2,1,65.38,117.8,-234.5,137,Intermediate
90,2,12,12,0,0.98,34.58,4,4,2,98.0,563.7,67.8,25,Advanced
247,4,18,16,2,0.91,31.25,6,4,0,63.13,231.0,-266.8,109,Intermediate
95,3,14,14,0,0.98,27.77,5,4,2,98.0,394.1,-207.1,35,Advanced
165,1,21,11,10,0.529,43.74,4,0,0,37.12,-250.4,-213.2,119,Beginner
331,4,27,10,17,0.38,51.39,9,8,1,94.03,416.8,487.5,122,Intermediate
73,2,25,11,14,0.431,52.2,7,9,3,98.0,416.6,432.7,44,Intermediate
339,1,25,24,1,0.98,23.66,8,9,5,86.95,365.4,-330.1,146,Advanced
52,3,21,2,19,0.085,62.78,3,0,1,20.0,-407.8,415.4,66,Beginner
88,3,28,20,8,0.721,28.39,10,8,1,68.91,293.7,124.6,96,Intermediate
294,4,29,28,1,0.98,19.49,10,10,8,98.0,667.6,178.6,113,Advanced
397,3,25,12,13,0.492,55.61,8,9,2,82.26,424.1,476.6,91,Intermediate
86,4,12,5,7,0.446,42.42,4,3,0,84.81,412.7,447.6,131,Intermediate
150,2,16,1,15,0.089,48.98,5,3,0,45.17,3.2,458.1,11,Beginner
463,4,30,8,22,0.261,50.53,6,2,1,42.61,-109.7,106.0,77,Beginner
495,5,11,10,1,0.918,38.5,4,3,3,98.0,742.8,195.4,119,Advanced
291,3,21,17,4,0.823,26.29,6,3,0,46.44,-33.3,-214.9,3,Intermediate
224,4,23,19,4,0.832,4.41,8,4,1,45.85,53.3,-335.7,72,Intermediate
174,2,18,17,1,0.941,30.81,6,5,6,98.0,747.2,62.2,133,Advanced
307,4,24,15,9,0.619,36.46,4,1,2,26.76,-235.7,-281.4,50,Beginner
296,5,11,10,1,0.876,28.52,4,3,4,90.09,444.3,-321.3,15,Advanced
148,5,14,14,0,0.98,28.2,5,4,0,96.43,463.9,-299.2,58,Advanced
12,5,16,15,1,0.943,24.0,5,3,0,61.22,68.6,-378.9,80,Intermediate
76,2,13,13,0,0.98,26.6,4,5,3,98.0,784.7,130.6,14,Advanced
480,5,19,17,2,0.918,24.83,6,6,3,98.0,519.6,180.8,72,Advanced
210,2,19,6,13,0.323,37.86,6,2,3,71.93,74.2,193.4,99,Beginner
242,5,29,28,1,0.965,27.17,10,5,0,71.06,178.1,-330.1,145,Intermediate
234,1,20,15,5,0.764,37.95,7,5,3,94.14,386.2,199.9,101,Advanced
392,5,25,22,3,0.864,39.91,8,7,2,90.34,319.2,153.5,19,Advanced
33,2,11,6,5,0.518,39.39,4,3,2,98.0,478.6,470.2,141,Intermediate
42,2,11,10,1,0.886,18.85,4,3,3,94.03,504.4,131.0,100,Advanced
138,3,18,15,3,0.845,25.25,6,4,2,93.86,351.9,38.9,127,Advanced
244,3,16,2,14,0.147,32.54,3,0,0,20.0,-322.9,2.2,47,Beginner
336,1,29,1,28,0.05,62.96,8,7,0,57.58,51.7,587.3,5,Beginner
246,3,20,1,19,0.05,47.81,6,0,1,45.1,-59.6,453.6,66,Beginner
221,5,20,11,9,0.548,40.71,7,3,0,72.17,130.1,45.6,54,Beginner
469,3,27,20,7,0.751,25.22,9,8,2,88.87,357.2,102.8,63,Intermediate
81,3,28,27,1,0.98,36.05,9,6,0,61.81,229.0,-331.1,142,Intermediate
286,5,26,1,25,0.052,63.89,5,4,1,52.68,-140.6,546.4,53,Beginner
272,1,19,17,2,0.898,17.51,6,5,1,86.54,298.6,-321.4,41,Advanced
237,2,14,13,1,0.939,39.56,5,5,1,98.0,548.7,-356.2,133,Advanced
404,5,10,5,5,0.544,51.26,3,3,1,95.18,542.8,500.1,135,Intermediate
134,1,11,7,4,0.66,50.57,4,3,2,98.0,661.7,549.2,109,Advanced
477,2,27,19,8,0.698,27.09,5,2,0,28.66,-131.9,-376.1,19,Beginner
166,2,12,10,2,0.874,28.17,4,4,2,98.0,497.1,-261.6,135,Advanced
273,5,18,15,3,0.849,28.58,6,6,2,98.0,561.8,-266.5,7,Advanced
261,1,20,16,4,0.813,21.24,7,5,4,81.81,370.1,30.3,122,Advanced
425,2,21,7,14,0.313,33.96,6,0,0,20.0,-303.1,-205.9,112,Beginner
220,3,11,2,9,0.201,53.83,4,3,2,74.8,285.6,455.4,63,Beginner
143,1,20,8,12,0.385,56.37,7,7,1,76.37,342.8,464.6,30,Beginner
11,1,15,15,0,0.98,29.19,5,5,5,98.0,548.8,2.7,10,Advanced
182,2,17,17,0,0.98,31.5,6,5,4,98.0,689.9,155.6,6,Advanced
414,1,27,23,4,0.838,22.35,7,6,0,54.13,-16.9,-359.1,45,Intermediate
5,5,19,17,2,0.914,21.6,5,4,2,52.28,89.5,-290.5,72,Intermediate
449,3,18,2,16,0.111,45.73,5,4,0,61.85,51.3,404.4,52,Beginner
272,1,10,9,1,0.907,29.05,2,4,0,71.96,298.6,-225.9,91,Intermediate
71,4,30,29,1,0.98,20.59,9,6,1,82.04,253.3,-338.8,16,Advanced
152,4,22,22,0,0.98,23.56,7,7,3,71.71,336.1,-314.3,106,Advanced
278,4,25,21,4,0.847,26.56,8,8,0,92.93,303.9,-392.7,24,Intermediate
158,3,19,18,1,0.955,26.81,5,6,3,76.97,311.4,4.5,67,Advanced
55,1,15,4,11,0.258,56.29,5,4,4,96.39,415.9,563.5,4,Intermediate
333,4,15,5,10,0.345,46.17,5,4,2,94.39,389.6,487.0,140,Intermediate
337,5,10,8,2,0.844,33.66,2,4,0,79.88,400.3,131.9,66,Intermediate
60,2,28,17,11,0.601,49.53,10,9,7,98.0,525.8,531.0,56,Intermediate
141,1,21,14,7,0.651,36.39,7,5,1,73.08,274.8,181.6,26,Intermediate
